S.no,State,Year,Quarter,Registered_Users,AppOpenings
691,uttar-pradesh,2020,3,24838116,450784508
692,uttar-pradesh,2020,4,27249134,552220798
693,uttar-pradesh,2021,1,29482075,639718324
694,uttar-pradesh,2021,2,31651894,673598864
695,uttar-pradesh,2021,3,34151882,803890116
696,uttar-pradesh,2021,4,36617655,1175923794
697,uttar-pradesh,2022,1,38999692,836926025
698,uttar-pradesh,2022,2,41247289,947480495
699,uttar-pradesh,2022,3,43537920,1035702397
700,uttar-pradesh,2022,4,45648650,1682003791
701,uttarakhand,2018,1,483043,0
702,uttarakhand,2018,2,649142,0
703,uttarakhand,2018,3,810612,0
704,uttarakhand,2018,4,1012103,0
705,uttarakhand,2019,1,1224955,0
706,uttarakhand,2019,2,1414339,7454279
707,uttarakhand,2019,3,1585859,24660988
708,uttarakhand,2019,4,1752677,28853867
709,uttarakhand,2020,1,1943606,32631265
710,uttarakhand,2020,2,2148567,31074793
711,uttarakhand,2020,3,2365438,40377348
712,uttarakhand,2020,4,2596244,52564888
713,uttarakhand,2021,1,2802122,59282260
714,uttarakhand,2021,2,3004040,78380036
715,uttarakhand,2021,3,3233509,90886530
716,uttarakhand,2021,4,3460015,110928354
717,uttarakhand,2022,1,3674829,115224382
718,uttarakhand,2022,2,3877056,156465685
719,uttarakhand,2022,3,4081976,152803850
720,uttarakhand,2022,4,4272049,160685547
721,west-bengal,2018,1,2604789,0
722,west-bengal,2018,2,3833795,0
723,west-bengal,2018,3,4851740,0
724,west-bengal,2018,4,6279278,0
725,west-bengal,2019,1,7449425,0
726,west-bengal,2019,2,8612795,49514201
727,west-bengal,2019,3,9643222,176559011
728,west-bengal,2019,4,10885058,244326613
729,west-bengal,2020,1,11960822,207068218
730,west-bengal,2020,2,13222022,198589332
731,west-bengal,2020,3,14448366,246554831
732,west-bengal,2020,4,15662093,291721919
733,west-bengal,2021,1,16808799,316832674
734,west-bengal,2021,2,17979979,275341466
735,west-bengal,2021,3,19323278,348588666
736,west-bengal,2021,4,20644527,512335839
737,west-bengal,2022,1,21919787,236131065
738,west-bengal,2022,2,23124388,250276369
739,west-bengal,2022,3,24372048,256445748
740,west-bengal,2022,4,25536381,678066327
